SN14318   SN2006py  -19.401  0.076	0.732	0.032 -18.898  0.031	0.687	0.033 -18.949  0.052	0.769	0.043
SN16185   SN2006ok  -18.634  0.09	0.835	0.138 -18.519  0.015	0.693	0.027 -18.576  0.013	0.813	0.033
SN12781   SN2006er  -18.565  0.36	1.15	0.298 -18.642  0.11	0.719	0.052 -18.601  0.025	0.788	0.017
SN8151    SN2005hk  -18.167  0.085	0.868	0.042 -17.984  0.018	0.726	0.017  99.000  9.999	9.999	9.999
SN16280   SN2006nz  -17.543  0.041	0.934	0.05  -18.028  0.009	0.732	0.016  99.000  9.999	9.999	9.999
SN16259   SN2006ol  -18.469  0.279	1.004	0.369 -18.58   0.02	0.771	0.055 -18.688  0.018	0.823	0.061
SN16314   SN2006oa  -19.937  0.024	0.727	0.027 -19.28   0.016	0.786	0.047 -19.256  0.018	0.798	0.053
SN16392   SN2006ob  -19.361  0.016	1.205	0.048 -18.885  0.006	0.797	0.049 -18.836  0.017	0.913	0.04
SN10028   SN2005kt  -19.221  0.046	0.704	0.035 -18.947  0.01	0.8	0.029 -18.985  0.011	0.681	0.037
SN13135   SN2006fz  -19.332  0.045	0.997	0.034 -18.904  0.019	0.856	0.016 -18.868  0.013	0.917	0.014
SN7147    SN2005jh  -19.622  0.056	1.002	0.195 -18.947  0.037	0.857	0.022 -18.921  0.053	0.864	0.077
SN16287   SN2006np  -19.322  0.46	1.237	0.228 -18.89   0.028	0.879	0.081 -18.901  0.014	0.918	0.05
SN739     SN2005ef   99.000  9.999	9.999	9.999 -19.154  0.047	0.889	0.018 -19.062  0.031	0.946	0.023
SN14816   SN2006ja  -19.279  0.056	0.916	0.097 -19.002  0.012	0.924	0.038 -19.002  0.01	1.004	0.035
SN1241    SN2005ff  -19.065  0.103	1.108	0.314 -18.851  0.017	0.927	0.038 -18.907  0.023	1.003	0.03
SN10434   SN2005lk  -19.835  0.197	0.898	0.238 -19.22   0.026	0.93	0.046 -19.031  0.025	1.03	0.092
SN3256    SN2005hn  -18.621  0.512	1.576	0.37  -18.916  0.055	0.941	0.028 -18.795  0.03	1.011	0.035
SN10805   SN2005ku  -19.151  0.027	0.937	0.034 -18.947  0.006	0.96	0.02   99.000  9.999	9.999	9.999
SN6057    SN2005if  -18.838  0.098	1.098	0.095 -18.735  0.007	0.968	0.013 -18.837  0.007	0.995	0.012
SN12950   SN2006fy  -19.169  0.025	0.893	0.035 -18.935  0.009	0.968	0.014 -18.867  0.006	1.023	0.007
SN14279   SN2006hx  -19.13   0.019	0.994	0.012 -18.924  0.005	0.978	0.008  99.000  9.999	9.999	9.999
SN16619   SN2006ps  -19.594  0.088	1.099	0.16  -19.022  0.02	0.98	0.045 -19.058  0.029	1.019	0.055
SN16333   SN2006on  -19.402  0.055	1.187	0.262 -19.067  0.011	0.986	0.021 -19.218  0.015	1.052	0.035
SN3592    SN2005gb  -19.454  0.051	1.094	0.132 -19.17   0.02	0.987	0.021 -19.078  0.013	1.036	0.016
SN6520    none      -18.582  0.495	1.025	0.276 -17.721  0.071	0.991	0.072 -17.747  0.119	1.572	0.319
SN722     SN2005ed  -19.966  0.531	0.935	0.35  -19.204  0.036	0.996	0.02  -19.159  0.058	0.96	0.031
SN12779   SN2006fd  -18.891  0.578	1.101	0.274 -18.7    0.024	1.002	0.019 -18.699  0.027	1.066	0.028
SN5549    SN2005hx  -19.246  0.066	1.005	0.061 -19.012  0.009	1.009	0.02  -18.991  0.014	1.081	0.026
SN12860   SN2006fc  -18.681  0.263	0.767	0.261 -18.389  0.015	1.015	0.029 -18.549  0.018	1.082	0.03
SN12897   SN2006eb  -18.034  0.224	1.117	0.245 -18.003  0.012	1.017	0.014  99.000  9.999	9.999	9.999
SN16641   SN2006pr  -18.82   0.202	1.319	0.258 -18.843  0.026	1.019	0.057 -18.853  0.029	1.197	0.046
SN2561    SN2005fv  -19.154  0.145	1.313	0.288 -18.812  0.015	1.028	0.03  -18.895  0.01	0.999	0.021
SN12898   SN2006fw  -18.971  0.053	1.053	0.071 -18.792  0.009	1.049	0.012 -18.881  0.009	1.043	0.013
SN7876    SN2005ir  -19.654  0.075	1.039	0.087 -19.206  0.039	1.076	0.031 -19.22   0.044	1.08	0.067
SN774     SN2005ex  -19.398  0.206	1.156	0.202 -19.069  0.026	1.08	0.023 -19.096  0.025	1.078	0.02
SN13038   SN2006gn  -19.336  0.205	1.205	0.143 -19.077  0.033	1.096	0.019 -19.05   0.014	1.146	0.02
SN5944    SN2005hc  -19.582  0.025	1.1	0.031 -19.192  0.009	1.099	0.019  99.000  9.999	9.999	9.999
SN2102    SN2005fn  -19.951  0.051	1.232	0.136 -19.489  0.01	1.11	0.015 -19.341  0.008	1.119	0.016
SN6558    SN2005hj  -19.823  0.033	0.982	0.076 -19.244  0.005	1.123	0.044 -19.267  0.007	1.069	0.041
SN12778   SN2006fs  -18.861  0.236	1.15	0.284 -18.628  0.041	1.16	0.037 -18.778  0.035	1.138	0.028
SN14871   SN2006jq  -19.418  0.079	1.189	0.072 -19.07   0.009	1.163	0.02  -18.99   0.01	1.171	0.026
SN6962    SN2005je  -19.516  0.203	1.436	0.259 -18.49   0.021	1.184	0.031 -18.551  0.022	1.281	0.076
SN5395    SN2005hr  -19.391  0.135	1.436	0.169 -19.137  0.01	1.221	0.026 -19.129  0.011	1.163	0.018
