IAUC_ID	SDSS_ID	U_mag_app	U_mag	U_sf	B_mag_app	B_mag	B_sf	V_mag_app	V_mag	V_sf	R_mag_app	R_mag	R_sf	I_mag_app	I_mag	I_sf	chi_square	redshift	lumi_dis	B_max_day
none	SN1461	21.54	-19.51	1.011	21.81	-19.24	1.089	0	0	0	0	0	0	0	0	0	0.832	0.341	41.0506	53625.6
none	SN1525	0	0	0	19.871	-18.524	1.727	19.981	-18.414	1.655	19.716	-18.679	1.718	0	0	0	1.598	0.108	38.3965	53632
none	SN1740	19.812	-19.575	0.909	20.395	-18.992	0.876	20.54	-18.847	0.948	0	0	0	0	0	0	1.41	0.167	39.3881	53628.5
SN2005ed		17.082	-20.816	0.467	19.102	-18.796	1.059	18.746	-19.153	0.907	18.852	-19.046	0.812	19.24	-18.658	1.018	1.024	0.0866	37.8996	53611.7
SN2005ef		0	0	0	19.309	-19.081	0.834	19.393	-18.997	0.888	19.465	-18.924	0.817	20.016	-18.374	1.433	0.74	0.1077	38.3903	53610.4
SN2005eg		20.087	-19.609	1.21	20.47	-19.226	0.974	20.831	-18.865	1.227	20.668	-19.028	1.489	0	0	0	0.917	0.191	39.6969	53622.1
SN2005ei		0	0	0	19.711	-19.033	1.189	19.7	-19.045	1.182	19.748	-18.996	1.159	19.819	-18.926	1.065	0.557	0.126	38.7455	53609.1
SN2005ex		0	0	0	19.019	-19.051	1.029	18.992	-19.078	1.044	18.904	-19.167	0.829	19.069	-19.002	1.161	2.114	0.0935	38.0717	53610.5
SN2005ey		18.814	-20.002	0.747	19.647	-19.169	1.189	19.774	-19.042	1.079	19.885	-18.93	1.019	20.227	-18.588	1.127	2.248	0.13	38.8165	53632.4
SN2005ez		0	0	0	20.348	-18.467	0.695	20.381	-18.434	0.818	20.159	-18.656	0.725	20.256	-18.56	0.995	1.005	0.13	38.8165	53622.9
SN2005fa		19.71	-19.6	0.945	20.125	-19.185	1.018	20.11	-19.201	0.989	20.01	-19.301	1.091	0	0	0	1.148	0.1615	39.3113	53639.9
SN2005fb		19.722	-19.595	1.132	20.208	-19.109	1.106	20.327	-18.99	1.106	20.215	-19.102	1.308	0	0	0	0.707	0.162	39.3184	53632.3
SN2005fd		20.659	-19.717	1.033	21.302	-19.073	0.968	21.458	-18.917	1.049	20.913	-19.463	1.4	0	0	0	0.675	0.256	40.3766	53631.8
