# stretch	Number
-0.297166	-0.0234742
-0.266802	-0.0234742
-0.24251	-0.0234742
-0.216194	0.0117371
-0.18583	0.0821596
-0.161538	0.28169
-0.145344	0.481221
-0.131174	0.786385
-0.118016	1.12676
-0.10587	1.50235
-0.0947368	1.92488
-0.0836032	2.34742
-0.0744939	2.79343
-0.0623482	3.27465
-0.0522267	3.68545
-0.0410931	4.21361
-0.0279352	4.73005
-0.0137652	5.14085
0.001417	5.45775
0.0236842	5.68075
0.0419028	5.65728
0.0580972	5.51643
0.0742915	5.26995
0.0925101	4.95305
0.108704	4.57746
0.136032	4.07277
0.154251	3.61502
0.174494	3.18075
0.196761	2.76995
0.219028	2.34742
0.239271	1.96009
0.263563	1.58451
0.293927	1.22066
0.32834	0.821596
0.367814	0.504695
0.409312	0.28169
0.456883	0.129108
0.504453	0.0586854
0.55	0
0.593522	0
0.632996	-0.0234742
0.669433	-0.0117371
0.712955	-0.0234742
